"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Business Administration","Business",29,"Female","Unknown","Hispanic/Latino","343","240","276","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Kinesiology","Math and Science",40,"Female","Yes","Hispanic/Latino","212","240","276","High School Diploma or GED","High School Diploma or GED",0,0,"CINCO RANCH HIGH SCHOOL","OTHER","0"
"Cosmetology","Career and Technical",27,"Female","Unknown","Hispanic/Latino","332","347","350","Unknown","Unknown",0,1,"Texas Resident Individual Appro","OTHER","0"
"Diesel Technology","Career and Technical",25,"Male","Unknown","Hispanic/Latino","350","347","343","Unknown","Unknown",0,0,"MISD- LHS","OTHER","23026"
"Nursing-Associate Degree","Health Science",27,"Female","Unknown","Hispanic/Latino","353","370","373","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Emergency Medical Services","Health Science",25,"Male","Unknown","Black or African American","363","378","363","Unknown","Unknown",0,0,"Texas Resident Individual Appro","OTHER","0"
"Engineering","Math and Science",24,"Male","No","Hispanic/Latino","353","363","353","Some College","Graduate/Professional Degree",0,0,"PRESIDIO HIGH SCHOOL","OTHER","0"
"Fire Science Technology","Health Science",24,"Male","Unknown","Hispanic/Latino","350","352","356","Unknown","Unknown",0,1,"MISD- LHS","OTHER","18570"
"Business Management","Business",42,"Female","Unknown","Hispanic/Latino","20","95","89","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Education","Education",42,"Female","Unknown","Black or African American","335","NULL","NULL","Unknown","Unknown",0,0,"BROWNWOOD HIGH SCHOOL","FED PELL GRANT","0"
"Organizational Management","Business",34,"Female","No","Hispanic/Latino","354","377","358","High School Diploma or GED","Associate Degree",0,0,"Midland High School","FED PELL GRANT","585"
"Business Management","Business",41,"Female","Unknown","Hispanic/Latino","215","240","221","Unknown","Unknown",0,0,"ANDREWS HIGH SCHOOL","FED PELL GRANT","855"
"Biology","Math and Science",32,"Female","Unknown","Hispanic/Latino","46","76","83","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",34,"Female","Unknown","Black or African American","37","45","89","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Criminal Justice","Career and Technical",31,"Female","No","White","28","25","50","Graduate/Professional Degree","Associate Degree",0,0,"Midland High School","FED PELL GRANT","0"
"Health Information Management","Health Science",28,"Female","Unknown","Hispanic/Latino","336","345","346","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Paralegal","Career and Technical",25,"Female","Unknown","Hispanic/Latino","360","357","354","Unknown","Unknown",0,0,"MIDLAND CHRISTIAN SCHOOL","OTHER","0"
"Diesel Technology","Career and Technical",21,"Male","Unknown","White","318","360","380","Some College","High School Diploma or GED",0,0,"Midland High School","OTHER","9999999"
"Emergency Medical Services","Health Science",32,"Male","Yes","Hispanic/Latino","357","359","368","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","1386"
"History","Social and Behavioral Science",25,"Male","Unknown","White","357","374","355","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","39552"
"Education","Education",24,"Female","Unknown","Hispanic/Latino","350","340","352","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","1977"
"Business Management","Business",32,"Female","Unknown","White","26","76","86","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","1045"
"Office Systems Technology","Career and Technical",38,"Female","Yes","Hispanic/Latino","350","240","204","High School Diploma or GED","Some High School",0,0,"LAMESA HIGH SCHOOL","OTHER","420"
"Business Management","Business",33,"Female","Yes","White","26","33","65","High School Diploma or GED","No High School",0,0,"RICHARD MILBURN ACADEMY","FED PELL GRANT","0"
"Criminal Justice","Career and Technical",31,"Male","Unknown","Black or African American","313","NULL","NULL","Unknown","Unknown",0,0,"FRANCIS LEWIS HIGH SCHOOL","FED PELL GRANT","13"
"Respiratory Care","Health Science",48,"Female","Unknown","Hispanic/Latino","324","356","335","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","3662"
"Chemistry","Math and Science",24,"Female","Unknown","Hispanic/Latino","363","365","353","Unknown","Unknown",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Energy Technology","Career and Technical",21,"Male","Unknown","Hispanic/Latino","955","357","363","Unknown","Unknown",0,0,"Midland High School","OTHER","17727"
"Emergency Medical Services","Health Science",23,"Male","Unknown","Hispanic/Latino","361","356","362","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Computer-Aided Drafting and Design","Career and Technical",22,"Female","Unknown","White","355","364","358","Unknown","Unknown",0,0,"Midland High School","OTHER","18576"
"Business Management","Business",47,"Female","Unknown","Hispanic/Latino","330","373","364","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Computer Information Technology","Career and Technical",35,"Male","Yes","Hispanic/Latino","22","NULL","NULL","No High School","No High School",0,1,"Out of State Ged","OTHER","9910"
"Biology","Math and Science",25,"Female","Unknown","Hispanic/Latino","350","346","346","Unknown","Unknown",0,0,"RANKIN HIGH SCHOOL","FED PELL GRANT","0"
"Philosophy","Language and Fine Arts",22,"Female","Yes","Hispanic/Latino","354","363","367","High School Diploma or GED","Some High School",0,0,"Midland High School","OTHER","0"
"English","Language and Fine Arts",31,"Female","Unknown","Hispanic/Latino","943","NULL","NULL","Some College","High School Diploma or GED",0,0,"CARLSBAD HIGH SCHOOL","OTHER","0"
"Office Systems Technology","Career and Technical",32,"Female","Yes","Hispanic/Latino","327","NULL","NULL","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Substance Abuse Counseling","Health Science",34,"Female","No","Hispanic/Latino","323","NULL","NULL","Bachelor/Four-year Degree","Associate Degree",0,0,"IRVIN HIGH SCHOOL","OTHER","0"
"Health Information Management","Health Science",36,"Female","Unknown","Hispanic/Latino","937","948","948","Unknown","Unknown",0,0,"COOPER HIGH SCHOOL","OTHER","381"
"Education","Education",33,"Female","Unknown","Hispanic/Latino","NULL","56","NULL","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Business Management","Business",39,"Female","No","Black or African American","310","334","325","High School Diploma or GED","Bachelor/Four-year Degree",0,1,"PENN FOSTER HIGH SCHOOL","FED PELL GRANT","NULL"
"Business Management","Business",40,"Female","Unknown","Hispanic/Latino","192","38","237","Unknown","Unknown",0,0,"MISD- LHS","OTHER","5041"
"Arts","Language and Fine Arts",24,"Male","No","White","367","371","361","Bachelor/Four-year Degree","Some College",0,0,"Texas Resident Individual Appro","OTHER","4999"
"Business Management","Business",29,"Female","No","Hispanic/Latino","343","NULL","NULL","Unknown","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","4865"
"Office Systems Technology","Career and Technical",41,"Female","Yes","Hispanic/Latino","54","86","244","Some High School","Some High School",0,0,"MISD- LHS","FED PELL GRANT","6951"
"Nursing-Associate Degree","Health Science",24,"Female","Unknown","Black or African American","335","352","344","Unknown","Unknown",0,1,"Midland High School","FED PELL GRANT","600"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",26,"Male","Unknown","Asian","311","332","323","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","3486"
"Education","Education",24,"Female","Yes","White","351","364","359","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","17788"
"Education","Education",23,"Female","Unknown","White","369","367","376","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Automotive Technology","Career and Technical",35,"Male","Unknown","Black or African American","41","84","86","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","10432"
"Emergency Medical Services","Health Science",26,"Female","Unknown","White","363","364","356","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","146"
"Business Management","Business",38,"Female","Yes","Hispanic/Latino","350","240","204","High School Diploma or GED","Some High School",0,0,"LAMESA HIGH SCHOOL","FED PELL GRANT","420"
"Emergency Medical Services","Health Science",38,"Female","Unknown","White","43","98","88","Unknown","Unknown",0,0,"ANDREWS HIGH SCHOOL","OTHER","40786"
"Geology","Math and Science",29,"Female","No","Hispanic/Latino","345","358","355","Associate Degree","Associate Degree",0,0,"MISD- LHS","OTHER","4311"
"Business Management","Business",25,"Female","No","White","353","369","368","High School Diploma or GED","Associate Degree",0,0,"ANDRESS HIGH SCHOOL","OTHER","0"
"Sonography","Health Science",32,"Female","Unknown","Hispanic/Latino","335","NULL","NULL","Unknown","Unknown",0,0,"LAS CRUCES HIGH SCHOOL","FED PELL GRANT","0"
"Arts","Language and Fine Arts",55,"Female","Unknown","Hispanic/Latino","193","180","223","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Office Systems Technology","Career and Technical",33,"Female","Yes","White","20","NULL","NULL","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","1435"
"Computer Programming","Career and Technical",21,"Male","Unknown","White","332","340","333","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Biology","Math and Science",21,"Male","Unknown","Hispanic/Latino","352","358","361","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","12690"
"Fire Science Technology","Health Science",26,"Female","Unknown","Hispanic/Latino","337","351","355","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",42,"Female","Yes","Hispanic/Latino","330","378","354","Some High School","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","0"
"Business Management","Business",28,"Female","Unknown","White","342","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","FED PELL GRANT","1029"
"Business Administration","Business",39,"Female","Unknown","Hispanic/Latino","358","NULL","NULL","Unknown","Unknown",0,0,"MONAHANS SENIOR HIGH SCHOOL","OTHER","4030"
"Health Information Management","Health Science",24,"Female","Unknown","Unknown","334","360","356","Unknown","High School Diploma or GED",0,1,"Midland High School","OTHER","0"
"Kinesiology","Math and Science",25,"Female","Unknown","Hispanic/Latino","350","369","355","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Sociology","Social and Behavioral Science",39,"Female","Yes","Hispanic/Latino","333","34","85","No High School","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","545"
"Business Management","Business",24,"Male","Yes","Hispanic/Latino","354","365","352","Some High School","Some High School",0,1,"Midland High School","OTHER","0"
"Arts","Language and Fine Arts",29,"Female","No","Hispanic/Latino","343","NULL","NULL","Unknown","Bachelor/Four-year Degree",0,0,"MISD- LHS","FED PELL GRANT","4865"
"Education","Education",32,"Female","Yes","Hispanic/Latino","932","69","83","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","3256"
"Kinesiology","Math and Science",23,"Female","Unknown","Black or African American","351","356","354","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Business Management","Business",37,"Female","Unknown","Hispanic/Latino","331","348","349","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Nursing-Associate Degree","Health Science",40,"Female","Unknown","Hispanic/Latino","28","70","93","Some College","High School Diploma or GED",0,1,"PREMIER HIGH SCH-MIDLAND","OTHER","9734"
"Health Information Management","Health Science",42,"Female","Unknown","Hispanic/Latino","324","360","345","Unknown","Unknown",0,0,"MISD- LHS","OTHER","1417"
"Business Administration","Business",35,"Female","Yes","Hispanic/Latino","25","84","88","No High School","No High School",0,0,"Midland High School","OTHER","7844"
"Engineering","Math and Science",22,"Male","Unknown","Hispanic/Latino","353","347","359","High School Diploma or GED","Some College",0,0,"MISD- LHS","OTHER","20"
"Office Systems Technology","Career and Technical",38,"Female","Yes","Hispanic/Latino","211","240","244","High School Diploma or GED","Some High School",1,0,"FORT STOCKTON HIGH SCHOOL","OTHER","27183"
"Diesel Technology","Career and Technical",23,"Male","No","Hispanic/Latino","365","351","353","Associate Degree","High School Diploma or GED",0,0,"Midland High School","OTHER","9999999"
"Cosmetology","Career and Technical",23,"Female","Unknown","Hispanic/Latino","352","363","356","Unknown","Unknown",0,0,"Midland High School","OTHER","7748"
"Education","Education",25,"Female","Unknown","Black or African American","338","354","364","Some High School","Some College",0,1,"Midland High School","FED PELL GRANT","0"
"Criminal Justice","Career and Technical",27,"Male","Unknown","Hispanic/Latino","108","240","2007","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Philosophy","Language and Fine Arts",38,"Female","Yes","Hispanic/Latino","350","240","204","High School Diploma or GED","Some High School",0,0,"LAMESA HIGH SCHOOL","FED PELL GRANT","420"
"Cosmetology","Career and Technical",31,"Female","Yes","Hispanic/Latino","332","347","343","High School Diploma or GED","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","627"
"Psychology","Social and Behavioral Science",27,"Male","No","White","330","347","338","Some College","Bachelor/Four-year Degree",0,0,"MIDLAND CHRISTIAN SCHOOL","FED PELL GRANT","0"
"Biology","Math and Science",22,"Female","No","Hispanic/Latino","366","370","365","Associate Degree","Bachelor/Four-year Degree",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Computer Information Technology","Career and Technical",23,"Female","Unknown","Black or African American","310","340","332","Unknown","Some College",0,0,"RICHARD MILBURN ACADEMY","OTHER","9999999"
"Education","Education",24,"Female","Unknown","White","358","374","364","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","FED PELL GRANT","0"
"Education","Education",37,"Female","Yes","Hispanic/Latino","41","56","78","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","1562"
"Business Administration","Business",25,"Male","Unknown","Hispanic/Latino","333","349","350","Unknown","Unknown",0,1,"GREENWOOD HIGH SCHOOL","OTHER","18206"
"Education","Education",33,"Female","Unknown","Hispanic/Latino","21","78","83","Unknown","Unknown",0,0,"SNYDER HIGH SCHOOL","FED PELL GRANT","5432"
"Psychology","Social and Behavioral Science",29,"Female","Yes","Hispanic/Latino","35","85","85","High School Diploma or GED","Some High School",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",39,"Female","Unknown","Hispanic/Latino","358","NULL","NULL","Unknown","Unknown",0,0,"MONAHANS SENIOR HIGH SCHOOL","OTHER","11618"
"Health Services Management","Health Science",33,"Female","Yes","Hispanic/Latino","319","360","351","No High School","No High School",0,1,"Texas Ged","OTHER","0"
"Respiratory Care","Health Science",25,"Female","Unknown","Black or African American","324","364","342","Unknown","Unknown",0,0,"PERMIAN HIGH SCHOOL","OTHER","4100"
"Health Information Management","Health Science",54,"Female","Unknown","Black or African American","NULL","344","NULL","Unknown","Unknown",0,0,"LE RABOUIN VOCATIONAL HIGH SCHOOL","FED PELL GRANT","5340"
"Business Administration","Business",24,"Female","Yes","Hispanic/Latino","326","342","341","No High School","No High School",0,0,"GREENWOOD HIGH SCHOOL","OTHER","0"
"Cosmetology","Career and Technical",25,"Female","Unknown","Black or African American","352","363","354","Some College","Some College",0,0,"GREENWOOD HIGH SCHOOL","FED PELL GRANT","0"
"Biology","Math and Science",26,"Female","Unknown","Black or African American","345","78","88","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Cosmetology","Career and Technical",28,"Female","Unknown","Hispanic/Latino","32","65","85","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Business Management","Business",28,"Female","Unknown","White","342","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","FED PELL GRANT","1133"
"Business Administration","Business",30,"Male","Unknown","Hispanic/Latino","41","43","65","Unknown","Unknown",0,1,"MISD- LHS","OTHER","13544"
"Cosmetology","Career and Technical",34,"Female","Yes","Unknown","337","357","356","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","22765"
"Education","Education",35,"Female","Unknown","Hispanic/Latino","238","366","215","Unknown","Unknown",0,0,"WEST JEFFERSON HIGH SCHOOL","FED PELL GRANT","0"
"Business Management","Business",26,"Female","Yes","Hispanic/Latino","354","360","355","No High School","No High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Computer Information Technology","Career and Technical",30,"Female","Yes","White","NULL","357","350","Some High School","No High School",0,0,"PREMIER HIGH SCH-MIDLAND","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",36,"Female","Unknown","White","30","61","82","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","OTHER","3052"
"Education","Education",25,"Female","Unknown","Hispanic/Latino","341","360","340","Unknown","Unknown",0,0,"MISD- LHS","OTHER","1520"
"Arts","Language and Fine Arts",24,"Female","No","Hispanic/Latino","342","NULL","NULL","Unknown","Associate Degree",0,0,"STANTON HIGH SCHOOL","OTHER","0"
"Substance Abuse Counseling","Health Science",30,"Female","Unknown","Hispanic/Latino","310","332","344","Unknown","Unknown",0,0,"Unknown International High School","OTHER","9999999"
"Education","Education",21,"Female","No","Hispanic/Latino","342","356","353","Associate Degree","Associate Degree",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","27915"
"Health Information Management","Health Science",32,"Female","Unknown","Hispanic/Latino","926","941","941","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"History","Social and Behavioral Science",40,"Female","No","Hispanic/Latino","331","67","88","Unknown","Bachelor/Four-year Degree",0,0,"Midland High School","FED PELL GRANT","0"
"Business Management","Business",34,"Female","Unknown","Black or African American","347","71","87","Unknown","Unknown",0,0,"Midland High School","OTHER","2121"
"Biology","Math and Science",24,"Female","Unknown","Unknown","334","360","356","Unknown","High School Diploma or GED",0,1,"Midland High School","OTHER","0"
"Health Information Management","Health Science",41,"Female","Unknown","Hispanic/Latino","355","NULL","NULL","Unknown","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","9999999"
"Business Management","Business",28,"Female","Unknown","Hispanic/Latino","924","921","921","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Business Administration","Business",33,"Female","Yes","Hispanic/Latino","931","939","939","No High School","No High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Computer-Aided Drafting and Design","Career and Technical",29,"Male","No","Hispanic/Latino","332","364","358","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"Unknown International High School","OTHER","0"
"Nursing-Vocational","Health Science",34,"Female","Yes","Hispanic/Latino","NULL","65","81","No High School","No High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Computer Information Technology","Career and Technical",23,"Male","Unknown","White","370","366","359","Some College","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","6463"
"Health Information Management","Health Science",40,"Female","Unknown","Hispanic/Latino","192","38","237","Unknown","Unknown",0,0,"MISD- LHS","OTHER","5041"
"Cosmetology","Career and Technical",24,"Female","Unknown","Hispanic/Latino","315","335","332","Some College","High School Diploma or GED",0,0,"MONAHANS SENIOR HIGH SCHOOL","FED PELL GRANT","0"
"Welding","Career and Technical",28,"Male","Unknown","White","347","346","358","Unknown","Unknown",0,0,"MIDLAND CHRISTIAN SCHOOL","OTHER","3442"
"Child Care and Development","Education",24,"Female","Unknown","Hispanic/Latino","315","335","332","Some College","High School Diploma or GED",0,0,"MONAHANS SENIOR HIGH SCHOOL","FED PELL GRANT","0"
"Kinesiology","Math and Science",25,"Female","No","Hispanic/Latino","357","362","353","Unknown","Associate Degree",0,0,"Midland High School","OTHER","7036"
"Education","Education",47,"Female","Unknown","Black or African American","328","61","88","Unknown","Unknown",0,0,"GAGE PARK HIGH SCHOOL","FED PELL GRANT","0"
"Education","Education",30,"Female","No","Black or African American","30","67","91","Bachelor/Four-year Degree","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","1385"
"Cosmetology","Career and Technical",25,"Female","No","White","951","942","942","High School Diploma or GED","Associate Degree",0,0,"MISD- LHS","OTHER","4205"
"Criminal Justice","Career and Technical",25,"Male","Unknown","Black or African American","310","355","357","Some College","Some College",0,0,"Midland High School","OTHER","3775"
"Health Information Management","Health Science",37,"Female","Unknown","White","359","99","92","Unknown","Unknown",0,0,"Texas Ged","FED PELL GRANT","0"
"Energy Technology","Career and Technical",22,"Female","Yes","Hispanic/Latino","327","362","363","Some High School","Some High School",0,0,"Midland High School","OTHER","20898"
"Communications","Language and Fine Arts",29,"Female","Unknown","White","23","98","59","Unknown","Unknown",0,0,"EARLY COLLEGE HS @ MIDLAND COL","FED PELL GRANT","755"
"Cosmetology","Career and Technical",27,"Female","Unknown","Hispanic/Latino","332","347","350","Unknown","Unknown",0,1,"Texas Resident Individual Appro","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",27,"Female","Unknown","Hispanic/Latino","218","240","260","Some College","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","0"
"Business Administration","Business",26,"Female","Yes","Hispanic/Latino","339","355","352","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","925"
"Nursing-Vocational","Health Science",46,"Female","Unknown","Hispanic/Latino","27","45","58","Unknown","Unknown",0,1,"Texas Ged","OTHER","9999999"
"Organizational Management","Business",41,"Female","Unknown","Hispanic/Latino","355","NULL","NULL","Unknown","High School Diploma or GED",0,0,"Midland High School","OTHER","9999999"
"Biology","Math and Science",25,"Male","No","Black or African American","374","365","357","Unknown","Bachelor/Four-year Degree",0,0,"Midland High School","OTHER","9999999"
"Health Information Management","Health Science",42,"Female","Unknown","Hispanic/Latino","328","NULL","NULL","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Psychology","Social and Behavioral Science",44,"Female","Unknown","Black or African American","915","62","67","Some College","Some College",0,0,"MISD- LHS","FED PELL GRANT","0"
"Computer Programming","Career and Technical",40,"Male","Unknown","Black or African American","328","328","327","Unknown","Unknown",0,0,"Unknown International High School","OTHER","1909"
"Cosmetology","Career and Technical",37,"Female","Unknown","Hispanic/Latino","331","348","349","Unknown","Unknown",0,0,"Midland High School","OTHER","6516"
"Psychology","Social and Behavioral Science",20,"Female","Yes","Hispanic/Latino","359","350","361","Some High School","Some High School",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","0"
"Paralegal","Career and Technical",34,"Female","Unknown","Hispanic/Latino","351","359","357","Some College","No High School",0,0,"Midland High School","OTHER","0"
"Nursing-Vocational","Health Science",25,"Female","Yes","White","345","345","348","High School Diploma or GED","Some High School",0,0,"Midland High School","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",43,"Female","Unknown","Hispanic/Latino","347","357","354","High School Diploma or GED","Some College",0,0,"CLYDE HIGH SCHOOL","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",44,"Female","Unknown","Hispanic/Latino","310","341","337","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","9999999"
"Education","Education",20,"Male","Unknown","Hispanic/Latino","946","927","927","Unknown","Unknown",0,0,"MISD- LHS","OTHER","50975"
"Biology","Math and Science",22,"Female","Yes","White","363","944","944","Some High School","Some High School",0,0,"MISD- LHS","OTHER","9999999"
"Organizational Management","Business",59,"Female","Unknown","White","329","379","374","Unknown","Unknown",0,0,"LOVINGTON HIGH SCHOOL","OTHER","9562"
"Education","Education",27,"Female","Unknown","Black or African American","354","350","351","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Computer Programming","Career and Technical",29,"Male","Unknown","White","352","363","374","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Health Information Management","Health Science",40,"Female","Yes","Hispanic/Latino","213","180","231","Some High School","Some High School",0,0,"MISD- LHS","OTHER","915"
"Education","Education",34,"Female","Unknown","Black or African American","NULL","84","93","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Automotive Technology","Career and Technical",27,"Female","Yes","Hispanic/Latino","923","939","939","High School Diploma or GED","Some High School",0,0,"PENN FOSTER HIGH SCHOOL","OTHER","4345"
"Business Administration","Business",22,"Male","Unknown","Hispanic/Latino","351","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","OTHER","38819"
"Health Services Management","Health Science",63,"Female","Yes","White","234","270","245","No High School","No High School",0,0,"PERMIAN HIGH SCHOOL","FED PELL GRANT","9999999"
"Business Administration","Business",24,"Female","Unknown","Hispanic/Latino","325","362","348","Unknown","Unknown",0,0,"MISD- LHS","OTHER","3007"
"Education","Education",43,"Female","Unknown","Hispanic/Latino","334","358","361","Unknown","Unknown",0,1,"Texas Ged","OTHER","4336"
"Business Administration","Business",24,"Male","Unknown","Hispanic/Latino","345","359","360","Unknown","Unknown",0,0,"Midland High School","OTHER","30970"
"Business Administration","Business",35,"Female","Unknown","White","29","95","92","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Education","Education",28,"Female","No","Hispanic/Latino","329","363","347","Bachelor/Four-year Degree","Associate Degree",0,0,"MISD- LHS","OTHER","1820"
"Office Systems Technology","Career and Technical",46,"Female","Unknown","White","241","240","255","Unknown","Unknown",0,0,"STANTON HIGH SCHOOL","OTHER","51574"
"Cosmetology","Career and Technical",31,"Female","Unknown","Black or African American","325","350","346","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","2945"
"Health Information Management","Health Science",48,"Female","Unknown","Hispanic/Latino","321","362","359","Unknown","Unknown",0,0,"LAKE VIEW HIGH SCHOOL","OTHER","987"
"Education","Education",28,"Female","Unknown","Black or African American","333","355","345","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"English","Language and Fine Arts",24,"Female","Yes","White","351","364","359","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Office Systems Technology","Career and Technical",25,"Female","Unknown","Hispanic/Latino","344","364","352","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","3550"
"Automotive Technology","Career and Technical",25,"Male","Unknown","Hispanic/Latino","336","356","349","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Kinesiology","Math and Science",24,"Male","Unknown","White","340","343","352","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Business Management","Business",25,"Female","Yes","Hispanic/Latino","322","361","340","No High School","Some High School",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","2680"
"Communications","Language and Fine Arts",26,"Female","Unknown","Hispanic/Latino","353","352","357","Some College","No High School",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","0"
"Music","Language and Fine Arts",26,"Male","Unknown","Hispanic/Latino","322","345","347","Unknown","Unknown",0,0,"Midland High School","OTHER","16800"
"Cosmetology","Career and Technical",32,"Female","Yes","Hispanic/Latino","38","69","74","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","FED PELL GRANT","0"
"Energy Technology","Career and Technical",20,"Male","No","Hispanic/Latino","979","364","360","Unknown","Bachelor/Four-year Degree",0,0,"Midland High School","OTHER","9999999"
"Business Management","Business",22,"Male","Unknown","Hispanic/Latino","350","364","355","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Health Information Management","Health Science",24,"Female","Yes","Hispanic/Latino","355","370","365","Some High School","No High School",0,0,"MISD- LHS","OTHER","9999999"
"Education","Education",34,"Female","Unknown","Black or African American","NULL","84","93","Unknown","Unknown",0,0,"Midland High School","OTHER","265"
"Music","Language and Fine Arts",25,"Female","Unknown","Hispanic/Latino","326","344","340","Unknown","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","0"
"Business Management","Business",35,"Female","Yes","Black or African American","16","52","72","High School Diploma or GED","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","568"
"Biology","Math and Science",24,"Male","Unknown","White","350","361","346","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
